"MWS_SAW_BATCH_ID";"AGE_INDEX";"MWS_EQP_ID";"MWS_LOT_ID_LIST";"INGOT_SEGMENT_COUNT";"MAX_POS_IN_SAWINGBATCH";"MAX_DEFLECTION";"MWS_RECIPE_ID";"MWS_CUT_NUMBER";"WIRE_GUIDE_ROLLER_RUN_COUNT";"MWS_CUT_DONE_TIMESTAMP";"MWS_BOW_PLATE_ALLOWED";"MWS_BOW_PROFILE_ACTIVE";"MWS_CUT_INTERRUPTED";"MWS_WIRE_BREAK";"SPC_ALARM";"WIRE_GUIDE_ROLLER_CHANGED";"COMPLETE_CUT";"WAFER_LIST"
"MWS328183";1.0;"LW_35";"M79NY";1.0;378.0;38.0;"12.9C-B35";4220.0;41.0;"2019-02-18 06:06:869";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822605338,BW0822605337,BW0822605336,BW0822605335,BW0822605334,BW0822605333,BW0822605332,BW0822605331,BW0822605330,BW0822605329,BW0822605328,BW0822605327,BW0822605326,BW0822604694,BW0822604693,BW0822604692,BW0822604685,BW0822604684,BW0822604683"
"MWS328184";2.0;"LW_35";"M79NW";1.0;391.0;38.0;"12.9C-B35";4219.0;40.0;"2019-02-17 15:34:598";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822600684,BW0822600683,BW0822600682,BW0822601268,BW0822601267,BW0822601266,BW0822601265,BW0822601264,BW0822601263,BW0822601262,BW0822601261,BW0822601260,BW0822601259,BW0822601258,BW0822600693,BW0822600692,BW0822600691,BW0822601270,BW0822601269"
"MWS328361";3.0;"LW_35";"M77XJ;M79JL";2.0;329.0;38.0;"12.9C-B35";4218.0;39.0;"2019-02-17 02:02:977";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822596177,BW0822596176,BW0822596175,BW0822596174,BW0822596173,BW0822596172,BW0822596170,BW0822596169,BW0822596168,BW0822595998,BW0822595997,BW0822595996,BW0822595995,BW0822595994,BW0822595993,BW0822595992,BW0822595991,BW0822595990,BW0822595986,BW0822595640,BW0822595639,BW0822595638"
"MWS328283";4.0;"LW_35";"M79RY";1.0;391.0;38.0;"12.9C-B35";4217.0;38.0;"2019-02-16 07:50:691";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822590635,BW0822590634,BW0822590633,BW0822590632,BW0822590631,BW0822590630,BW0822590629,BW0822590628,BW0822590627,BW0822590626,BW0822590625,BW0822590624,BW0822590623,BW0822590099,BW0822590098,BW0822590097,BW0822590090,BW0822590089,BW0822590088"
"MWS328221";5.0;"LW_35";"M79QT";1.0;391.0;38.0;"12.9C-B35";4216.0;37.0;"2019-02-15 16:10:395";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822585144,BW0822585143,BW0822585142,BW0822585141,BW0822585140,BW0822585139,BW0822585138,BW0822585137,BW0822585136,BW0822585135,BW0822585134,BW0822585133,BW0822585132,BW0822584648,BW0822584647,BW0822584646,BW0822584639,BW0822584638,BW0822584637"
"MWS328205";6.0;"LW_35";"M79GH;M79JB";2.0;346.0;38.0;"12.9C-B35";4215.0;36.0;"2019-02-15 01:10:440";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822580420,BW0822580419,BW0822580418,BW0822580417,BW0822580416,BW0822580415,BW0822580414,BW0822580413,BW0822580408,BW0822580114,BW0822580113,BW0822580112,BW0822580103,BW0822580102,BW0822580101,BW0822580100,BW0822580099,BW0822580098,BW0822580097,BW0822580091,BW0822579890,BW0822579889,BW0822579888"
"MWS328156";7.0;"LW_35";"M79JT";1.0;370.0;38.0;"12.9C-B35";4214.0;35.0;"2019-02-14 10:12:436";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822576143,BW0822576142,BW0822576141,BW0822576140,BW0822576139,BW0822576138,BW0822576137,BW0822576136,BW0822576135,BW0822576134,BW0822576133,BW0822576132,BW0822576131,BW0822575679,BW0822575678,BW0822575677,BW0822575670,BW0822575669,BW0822575668"
"MWS328150";8.0;"LW_35";"M77KB;M79CC;M79KK";3.0;292.0;38.0;"12.9C-B35";4213.0;34.0;"2019-02-13 16:57:298";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822570770,BW0822570769,BW0822570768,BW0822570767,BW0822570766,BW0822570763,BW0822570762,BW0822570761,BW0822570659,BW0822570658,BW0822570657,BW0822570656,BW0822570655,BW0822570654,BW0822570653,BW0822570652,BW0822570651,BW0822570650,BW0822570433,BW0822570432,BW0822570431,BW0822570430,BW0822570429,BW0822570426,BW0822570425,BW0822570424"
"MWS328081";9.0;"LW_35";"M79ND";1.0;391.0;38.0;"12.9C-B35";4212.0;33.0;"2019-02-13 00:18:179";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822565908,BW0822565907,BW0822565906,BW0822565905,BW0822565904,BW0822565903,BW0822565902,BW0822565901,BW0822565900,BW0822565899,BW0822565898,BW0822565897,BW0822565896,BW0822565387,BW0822565386,BW0822565385,BW0822565378,BW0822565377,BW0822565376"
"MWS327882";10.0;"LW_35";"M793J";1.0;269.0;38.0;"12.9C-B35";4211.0;32.0;"2019-02-12 10:29:982";"Y";"Y";"N";"N";"N";"N";"Y";"BW0822561712,BW0822561711,BW0822561710,BW0822561709,BW0822561708,BW0822561707,BW0822561706,BW0822561705,BW0822561704,BW0822561703,BW0822561702,BW0822561700,BW0822561348,BW0822561347,BW0822561346"
